t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2023,GA,Nuclear,nuclear_r_fsu,r,fsu,371.333333,
2026,GA,Nuclear,nuclear_r_fsu,r,fsu,371.333333,
2020,TN,Nuclear,nuclear_r_fsu,r,fsu,224.4,
2032,TX_ERCOT_E,Nuclear,nuclear_r_fsu,r,fsu,106.666667,
2035,WY,Nuclear,nuclear_r_fsu,r,fsu,115.0,
2038,ID,Nuclear,nuclear_r_fsu,r,fsu,365.554164,
2038,IL_PJM,Nuclear,nuclear_r_fsu,r,fsu,644.580273,
2038,NV,Nuclear,nuclear_r_fsu,r,fsu,299.353778,
2038,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,457.172418,
2038,WA,Nuclear,nuclear_r_fsu,r,fsu,102.147351,
2035,WI,Nuclear,nuclear_r_fsu,r,fsu,452.650824,
2038,WI,Nuclear,nuclear_r_fsu,r,fsu,65.496019,
